"Last Name","First Name","Nat","Age","Games_Played","Goals","Assists","Salary"
"Komarov","Leo","FIN",31,74,7,12,2950000
"Konecny","Travis","CAN",20,81,24,23,925000
"Kopitar","Anze","SVN",30,82,35,57,1.3e+07
"Kossila","Kalle","FIN",24,10,1,1,925000
"Kreider","Chris","USA",26,58,16,21,5e+06
"Krejci","David","CZE",31,64,17,27,7500000
"Kronwall","Niklas","SWE",37,79,4,23,3500000
"Krug","Torey","USA",26,76,14,45,5500000
"Kruger","Marcus","SWE",27,48,1,5,3475000
"Kucherov","Nikita","RUS",24,80,39,61,4500000
"Kuhnhackl","Tom","DEU",26,69,2,6,660000
"Kukan","Dean","CHE",24,11,0,4,7e+05
"Kulak","Brett","CAN",24,71,2,6,650000
"Kulemin","Nikolay","RUS",31,13,1,2,5250000
"Kulikov","Dmitry","RUS",27,62,3,8,4333333
"Kunin","Luke","USA",20,19,2,2,925000
"Kunitz","Chris","CAN",38,82,13,16,2e+06
"Kuokkanen","Janne","FIN",19,4,0,0,792500
"Kuraly","Sean","USA",25,75,6,8,925000
"Kuznetsov","Evgeny","RUS",25,79,27,56,1e+07
"Labanc","Kevin","USA",22,77,11,29,742500
"Ladd","Andrew","CAN",32,73,12,17,7500000
"LaDue","Paul","USA",25,12,3,1,874125
"Laich","Brooks","CAN",34,12,0,1,NA
"Laine","Patrik","FIN",19,82,44,26,925000
"Landeskog","Gabriel","SWE",25,78,25,37,6e+06
"Lappin","Nick","USA",25,6,1,0,842500
"Larkin","Dylan","USA",21,82,16,47,925000
"Larsson","Adam","SWE",25,63,4,9,1400000
"Larsson","Johan","SWE",25,80,4,13,4500000
"Lashoff","Brian","USA",27,1,0,0,650000
"Laughton","Scott","CAN",23,81,10,10,875000
"Lazar","Curtis","CAN",22,65,2,10,850000
"Leddy","Nick","USA",26,80,10,32,5e+06
"Lee","Anders","USA",27,82,40,22,4500000
"Lehkonen","Artturi","FIN",22,66,12,9,925000
"Lehtera","Jori","FIN",30,62,3,5,4700000
"Leier","Taylor","CAN",23,39,1,4,806558
"Leipsic","Brendan","CAN",23,58,5,17,650000
"Leivo","Josh","CAN",24,16,1,3,650000
"Lemieux","Brendan","USA",21,9,1,0,892500
"Lernout","Brett","CAN",22,18,0,1,650000
"Letang","Kris","CAN",30,79,9,42,7250000
"Letestu","Mark","CAN",32,80,9,14,1800000
"Lettieri","Vinni","USA",22,19,1,4,925000
"Lewis","Trevor","USA",31,68,14,12,2e+06
"Liambas","Mike","CAN",28,7,0,1,650000
"Lindberg","Oscar","SWE",26,63,9,2,1600000
"Lindblom","Oskar","SWE",21,23,2,4,925000
"Lindell","Esa","FIN",23,80,7,20,2200000
"Lindholm","Anton","SWE",23,48,0,4,6e+06
"Lindholm","Elias","SWE",23,81,16,28,2900000
"Lindholm","Hampus","SWE",24,69,13,18,742500
"Little","Bryan","CAN",30,82,16,27,5e+06
"Lomberg","Ryan","CAN",23,7,0,1,710000
"Lovejoy","Ben","USA",33,57,2,6,2750000
"Lowe","Keegan","USA",24,2,0,0,650000
"Lowry","Adam","USA",24,45,8,13,1250000
"Lucic","Milan","CAN",29,82,10,24,8e+06
"Maatta","Olli","FIN",23,82,7,22,4083300
"MacDermid","Kurtis","CAN",23,34,1,3,650000
"MacDonald","Andrew","CAN",31,66,6,15,5250000
"MacKenzie","Derek","CAN",36,75,3,11,1650000
"MacKinnon","Nathan","CAN",22,74,39,58,5750000
"Malgin","Denis","CHE",21,51,11,11,715000
"Malkin","Evgeni","RUS",31,78,42,56,9500000
"Malone","Brad","CAN",28,7,0,0,650000
"Mamin","Maxim","RUS",23,26,3,1,732500
"Mangiapane","Andrew","CAN",21,10,0,0,730000
"Manning","Brandon","CAN",27,65,7,12,1e+06
"Manson","Josh","CAN",26,80,7,30,825000
"Mantha","Anthony","CAN",23,80,24,24,832500
"Marchand","Brad","CAN",29,68,34,51,8e+06
"Marchessault","Jonathan","CAN",27,77,27,48,750000
"Marincin","Martin","SVK",25,2,0,0,1300000
"Marleau","Patrick","CAN",38,82,27,20,8500000
"Marner","Mitchell","CAN",20,82,22,47,925000
"Maroon","Patrick","USA",29,74,17,26,2100000
"Martel","Danick","CAN",23,4,0,0,730000
"Martin","Matt","CAN",28,50,3,9,4400000
"Martin","Paul","USA",36,14,0,2,2500000
"Martinez","Alec","USA",30,77,9,16,4e+06
"Martinook","Jordan","CAN",25,81,6,9,1750000
"Martinsen","Andreas","NOR",27,9,1,0,675000
"Matheson","Mike","CAN",23,81,10,17,925000
"Matteau","Stefan","USA",23,8,0,1,650000
"Matthews","Auston","USA",20,62,34,29,925000
"Matthias","Shawn","CAN",29,27,1,2,2125000
"Mayfield","Scott","USA",25,47,2,10,675000
"McAvoy","Charlie","USA",20,63,7,25,925000
"McCabe","Jake","USA",24,53,3,9,1775000
"McCann","Jared","CAN",21,68,9,19,832500
"McCarron","Michael","USA",22,18,0,1,832500
"McCormick","Max","USA",25,30,3,2,650000
"McCoshen","Ian","USA",22,38,3,1,925000
"McDavid","Connor","CAN",21,82,41,67,925000
"McDonagh","Ryan","USA",28,63,4,25,5100000
"McGinn","Brock","CAN",23,80,16,14,875000
"McGinn","Jamie","CAN",29,76,13,16,3500000
"McKegg","Greg","CAN",25,26,2,2,650000
"McKenzie","Curtis","CAN",26,7,0,2,7e+05
"McKeown","Roland","CAN",22,10,0,3,767500
"McLeod","Cody","CAN",33,48,1,3,1250000
"McNabb","Brayden","CAN",27,76,5,10,1800000
"McQuaid","Adam","CAN",31,38,1,3,3e+06
"Megan","Wade","USA",27,1,0,0,650000
"Megna","Jaycob","USA",25,14,0,1,650000
"Megna","Jayson","USA",27,1,0,0,675000
"Meier","Timo","CHE",21,81,21,15,925000
"Merkley","Nicholas","CAN",20,1,0,0,925000
"Mermis","Dakota","USA",24,9,0,0,670000
"Merrill","Jon","USA",25,34,1,2,1275000
"Mete","Victor","CAN",19,49,0,7,742500
"Methot","Marc","CAN",32,36,1,2,4900000
"Milano","Sonny","USA",21,55,14,8,832500
"Miller","Colin","CAN",25,82,10,31,2500000
"Miller","J.T.","USA",24,82,23,35,2750000
"Miller","Kevan","USA",30,68,1,15,1100000
"Mironov","Andrei","RUS",23,10,1,2,925000
"Mitchell","Torrey","CAN",33,60,6,5,1300000
"Mitchell","Zack","CAN",25,23,3,2,660000
"Mittelstadt","Casey","USA",19,6,1,4,925000
"Monahan","Sean","CAN",23,74,31,33,6500000
"Montour","Brandon","CAN",23,80,9,23,925000
"Moore","Dominic","CAN",37,50,6,6,1e+06
"Moore","John","USA",27,81,7,11,1950000
"Morin","Samuel","CAN",22,2,0,0,832500
"Morrissey","Josh","CAN",22,81,7,19,832500
"Morrow","Joe","CAN",25,56,6,10,650000
"Motte","Tyler","USA",22,46,5,2,925000
"Moulson","Matt","CAN",34,14,0,0,5e+06
"Mueller","Mirco","CHE",22,28,0,4,775000
"Murphy","Connor","USA",24,76,2,12,690000
"Murphy","Ryan","CAN",24,21,2,3,7e+05
"Murphy","Trevor","CAN",22,8,1,2,4600000
"Murray","Ryan","CAN",24,44,1,11,2825000
"Muzzin","Jake","CAN",28,74,8,34,4100000
"Myers","Tyler","CAN",27,82,6,30,3500000
"Namestnikov","Vladislav","RUS",25,81,22,26,1975000
"Nash","Rick","CAN",33,71,21,13,9e+05
"Nash","Riley","CAN",28,76,15,26,8200000
"Neal","James","CAN",30,71,25,19,5e+06
"Necas","Martin","CZE",19,1,0,0,925000
"Nelson","Brock","USA",26,82,19,16,650000
"Nelson","Casey","USA",25,37,3,5,3500000
"Nemeth","Patrik","SWE",25,68,3,12,945000
"Ness","Aaron","USA",27,8,0,1,650000
"Niederreiter","Nino","CHE",25,63,18,14,4600000
"Nielsen","Frans","DNK",33,79,16,17,6e+06
"Nieto","Matt","USA",25,74,15,11,1e+06
"Nieves","Boo","USA",24,28,1,8,767500
"Niku","Sami","FIN",21,1,1,0,742500
"Niskanen","Matt","USA",31,68,7,22,5750000
"Noesen","Stefan","USA",24,72,13,14,660000
"Nolan","Jordan","CAN",28,69,4,4,1e+06
"Nordstrom","Joakim","SWE",25,75,2,5,1300000
"Nosek","Tomas","CZE",25,67,7,8,650000
"Nugent-Hopkins","Ryan","CAN",24,62,24,24,6e+06
"Nurse","Darnell","CAN",22,82,6,20,832500
"Nutivaara","Markus","FIN",23,61,7,16,842500
"Nylander","Alexander","CAN",19,3,1,0,832500
"Nylander","William","SWE",21,82,20,41,925000
"Nyquist","Gustav","SWE",28,82,21,19,5250000
"O'Brien","Jim","USA",29,10,0,1,650000
"O'Brien","Liam","CAN",23,3,0,0,650000
"Oduya","Johnny","SWE",36,52,4,4,1e+06
"Oesterle","Jordan","USA",25,55,5,10,650000
"O'Gara","Rob","USA",24,30,0,3,925000
"Okposo","Kyle","USA",29,76,15,29,8e+06
"Oleksiak","Jamie","CAN",25,68,5,12,964688
"Olofsson","Gustav","SWE",23,41,0,8,675000
"O'Neill","Will","USA",29,1,0,0,650000
"O'Regan","Danny","USA",24,21,0,4,925000
"O'Reilly","Cal","CAN",31,1,0,0,9e+06
"O'Reilly","Ryan","CAN",26,81,24,37,7e+05
"Orlov","Dmitry","RUS",26,82,10,21,6500000
"Orpik","Brooks","USA",37,81,0,10,5500000
"Oshie","T.J.","USA",31,74,18,29,8e+06
"Ouellet","Xavier","FRA",24,45,0,7,1200000
"Ovechkin","Alex","RUS",32,82,49,38,1e+07
"Paajarvi","Magnus","SWE",26,79,8,4,8e+05
"Pacioretty","Max","USA",29,64,17,20,5e+06
"Pageau","Jean-Gabriel","CAN",25,78,14,15,2600000
"Pakarinen","Iiro","FIN",26,40,2,1,725000
"Palat","Ondrej","CZE",26,56,11,24,5600000
"Palmieri","Kyle","USA",26,62,24,20,4500000
"Panarin","Artemi","RUS",26,81,27,55,6e+06
"Panik","Richard","SVK",26,72,14,21,2800000
"Paquette","Cedric","CAN",24,56,5,4,825000
"Parayko","Colton","CAN",24,82,6,29,6500000
"Parise","Zach","USA",33,42,15,9,9e+06
"Pastrnak","David","CZE",21,82,35,45,8e+06
"Pateryn","Greg","USA",27,73,1,12,850000
"Patrick","Nolan","CAN",19,73,13,17,925000
"Paul","Nick","CAN",22,11,1,0,650000
"Pavelski","Joe","USA",33,82,22,44,6e+06
"Pearson","Tanner","CAN",25,82,15,25,3500000
"Peca","Matthew","CAN",24,10,2,3,650000
"Pelech","Adam","CAN",23,78,3,16,875000
"Peluso","Anthony","CAN",28,2,0,0,650000
"Perlini","Brendan","GBR",21,74,17,13,832500
"Perreault","Mathieu","CAN",30,70,17,22,4500000
"Perron","David","CAN",29,70,16,50,3750000
"Perry","Corey","CAN",32,71,17,32,1e+07
"Pesce","Brett","USA",23,65,3,16,892500
"Petan","Nic","CAN",22,15,2,0,832500
"Petrovic","Alexander","CAN",25,67,2,11,1850000
"Petry","Jeff","USA",30,82,12,30,6e+06
"Pettersson","Marcus","SWE",21,22,1,3,825000
"Phaneuf","Dion","CAN",32,79,6,20,7e+06
"Pietila","Blake","USA",24,2,0,0,660000
"Pietrangelo","Alex","CAN",28,78,15,39,7e+06
"Pionk","Neal","USA",22,28,1,13,925000
"Pirri","Brandon","CAN",26,2,3,0,650000
"Pitlick","Tyler","USA",26,80,14,13,1e+06
"Plekanec","Tomas","CZE",35,77,6,20,5e+06
"Point","Brayden","CAN",21,82,32,34,742500
"Polak","Roman","CZE",31,54,2,10,1100000
"Pominville","Jason","USA",35,82,16,18,5e+06
"Poolman","Tucker","USA",24,24,1,1,925000
"Postma","Paul","CAN",28,14,0,1,725000
"Pouliot","Benoit","CAN",31,74,13,6,8e+05
"Pouliot","Derrick","CAN",24,71,3,19,1150000
"Prince","Shane","USA",25,14,1,1,9e+05
"Prosser","Nate","USA",31,57,3,6,650000
"Prout","Dalton","CAN",27,4,0,0,1900000
"Provorov","Ivan","RUS",21,82,17,24,925000
"Puljujarvi","Jesse","FIN",19,65,12,8,925000
"Pulock","Ryan","CAN",23,68,10,22,832500
"Pyatt","Tom","CAN",30,81,7,15,1e+06
"Pysyk","Mark","CAN",26,82,3,13,1950000
"Quenneville","John","CAN",21,2,0,0,842500
"Quincey","Kyle","CAN",32,18,0,3,1250000
"Quine","Alan","CAN",24,21,0,3,650000
"Radulov","Alexander","RUS",31,82,27,45,8e+06
"Raffl","Michael","AUT",29,76,13,9,2350000
"Rakell","Rickard","SWE",24,77,34,35,3800000
"Rantanen","Mikko","FIN",21,81,29,55,925000
"Rask","Victor","SWE",24,71,14,17,4e+06
"Rasmussen","Dennis","SWE",27,27,1,3,725000
"Rattie","Ty","CAN",24,14,5,4,7e+05
"Rau","Kyle","USA",25,3,0,1,7e+05
"Read","Matt","CAN",31,19,1,0,3500000
"Reaves","Ryan","CAN",31,79,4,6,1125000
"Redmond","Zach","USA",29,3,0,0,650000
"Reilly","Mike","USA",24,57,2,16,675000
"Reinhart","Sam","CAN",22,82,25,25,832500
"Reinke","Mitch","USA",21,1,0,0,925000
"Richardson","Brad","CAN",32,76,3,12,2250000
"Rieder","Tobias","DEU",25,78,12,13,2450000
"Rielly","Morgan","CAN",23,76,6,46,5e+06
"Rinaldo","Zac","CAN",27,53,5,2,7e+05
"Ristolainen","Rasmus","FIN",23,73,6,35,5400000
"Ritchie","Brett","CAN",24,71,7,7,832500
"Ritchie","Nick","CAN",22,76,10,17,1700000
"Robinson","Eric","USA",22,1,0,0,NA
"Rodewald","Jack","CAN",23,4,0,0,690000
"Rodrigues","Evan","CAN",24,48,7,18,650000
"Rooney","Kevin","USA",24,1,0,0,650000
"Rosen","Calle","SWE",23,4,0,1,925000
"Roslovic","Jack","USA",21,31,5,9,925000
"Roussel","Antoine","FRA",28,73,5,12,2400000
"Rowney","Carter","CAN",28,44,2,3,650000
"Roy","Kevin","CAN",24,25,6,1,925000
"Roy","Nicolas","CAN",20,1,0,0,NA
"Ruhwedel","Chad","USA",27,44,2,3,650000
"Russell","Kris","CAN",30,78,4,17,5e+06
"Rust","Bryan","USA",25,69,13,25,660000
"Rutta","Jan","CZE",27,57,6,14,925000
"Ryan","Bobby","USA",30,62,11,22,7250000
"Ryan","Derek","USA",31,80,15,23,650000
"Ryan","Joakim","USA",24,62,3,9,1425000
"Rychel","Kerby","USA",23,4,1,1,832500
"Saad","Brandon","USA",25,82,18,17,6250000
"Salomaki","Miikka","FIN",24,58,2,6,650000
"Sanheim","Travis","CAN",21,49,2,8,832500
"Santini","Steven","USA",22,36,2,8,925000
"Sautner","Ashton","CAN",23,5,0,2,720000
"Savard","David","CAN",27,81,4,12,4e+06
"Sbisa","Luca","CHE",28,30,2,12,4e+06
"Scandella","Marco","CAN",27,82,5,17,4e+06
"Sceviour","Colton","CAN",28,76,11,13,950000
"Schaller","Tim","USA",27,82,12,10,775000
"Scheifele","Mark","CAN",24,60,23,37,6750000
"Schenn","Brayden","CAN",26,82,28,42,5e+06
"Schenn","Luke","CAN",28,64,1,6,1500000
"Scherbak","Nikita","RUS",22,26,4,2,832500
"Schlemko","David","CAN",30,37,1,4,2250000
"Schmaltz","Jordan","USA",24,13,0,1,925000
"Schmaltz","Nick","USA",21,78,21,31,925000
"Schmidt","Nate","USA",26,76,5,31,2150000
"Schroeder","Jordan","USA",27,21,1,1,650000
"Schultz","Justin","CAN",27,63,4,23,5500000
"Schwartz","Jaden","CAN",25,62,24,35,5500000
"Seabrook","Brent","CAN",32,81,7,19,9e+06
"Sedin","Daniel","SWE",37,81,23,32,7e+06
"Sedin","Henrik","SWE",37,82,3,47,7e+06
"Sedlak","Lukas","CZE",24,53,4,4,8e+05
"Seeler","Nick","USA",24,22,0,4,742500
"Seguin","Tyler","CAN",26,82,40,38,6e+06
"Seidenberg","Dennis","DEU",36,28,0,5,1250000
"Sekera","Andrej","SVK",31,36,0,8,5500000
"Sergachev","Mikhail","RUS",19,79,9,31,925000
"Severson","Damon","CAN",23,76,9,15,2500000
"Sexton","Ben","CAN",26,2,0,0,725000
"Sharp","Patrick","CAN",36,70,10,11,8e+05
"Shattenkirk","Kevin","USA",29,46,5,18,8e+06
"Shaw","Andrew","CAN",26,51,10,10,650000
"Shaw","Logan","CAN",26,72,4,10,5e+06
"Sheahan","Riley","CAN",26,81,11,21,2075000
"Sheary","Conor","USA",25,79,18,12,3e+06
"Shipachyov","Vadim","RUS",30,3,1,0,NA
"Shore","Devin","CAN",23,82,11,21,925000
"Shore","Nick","USA",25,64,5,14,925000
"Sieloff","Patrick","USA",23,1,1,0,650000
"Siemens","Duncan","CAN",24,16,1,1,750000
"Sikura","Dylan","CAN",22,5,0,3,925000
"Silfverberg","Jakob","SWE",27,77,17,23,3750000
"Simmonds","Wayne","CAN",29,75,24,22,4750000
"Simon","Dominik","CZE",23,33,4,8,742500
"Sissons","Colton","CAN",24,81,9,18,650000
"Skinner","Jeff","CAN",25,82,24,25,6e+06
"Skjei","Brady","USA",23,82,4,21,925000
"Slavin","Jaccob","USA",23,82,8,22,792500
"Slepyshev","Anton","RUS",23,50,6,6,925000
"Smith","Brendan","CAN",28,44,1,7,650000
"Smith","Craig","USA",28,79,25,26,6e+06
"Smith","Gemel","CAN",23,46,6,5,4250000
"Smith","Reilly","CAN",26,67,22,38,5e+06
"Smith","Zack","CAN",29,68,5,14,3250000
"Smith-Pelly","Devante","CAN",25,75,7,9,650000
"Sobotka","Vladimir","CZE",30,81,11,20,4e+06
"Soderberg","Carl","SWE",32,77,16,21,5e+06
"Sorensen","Marcus","SWE",25,32,5,2,7e+05
"Soshnikov","Nikita","RUS",24,15,1,1,8e+05
"Soucy","Carson","CAN",23,3,0,0,925000
"Spezza","Jason","CAN",34,78,8,18,7500000
"Spooner","Ryan","CAN",26,59,13,28,2825000
"Sprong","Daniel","NLD",20,8,2,1,742500
"Sproul","Ryan","CAN",25,16,1,4,650000
"Spurgeon","Jared","CAN",28,61,9,28,5500000
"Staal","Eric","CAN",33,82,42,34,3500000
"Staal","Jordan","CAN",29,79,19,27,6e+06
"Staal","Marc","CAN",31,72,1,7,6e+06
"Stafford","Drew","USA",32,59,8,7,8e+05
"Stajan","Matt","CAN",34,68,4,8,2500000
"Stamkos","Steven","CAN",27,78,27,59,9500000
"Stastny","Paul","USA",32,82,16,37,7500000
"Stecher","Troy","CAN",23,68,1,10,925000
"Steen","Alexander","SWE",33,76,15,31,7e+06
"Stempniak","Lee","USA",34,37,3,6,2500000
"Stepan","Derek","USA",27,82,14,42,7e+06
"Stephenson","Chandler","CAN",23,67,6,12,650000
"Stewart","Chris","CAN",30,54,10,6,1100000
"Stone","Mark","CAN",25,58,20,42,3500000
"Stone","Michael","CAN",27,82,3,7,4500000
"Stralman","Anton","SWE",31,80,4,14,4500000
"Streit","Mark","CHE",40,2,0,0,NA
"Strome","Dylan","CAN",20,21,4,5,3e+06
"Strome","Ryan","CAN",24,82,13,21,925000
"Subban","P.K.","CAN",28,82,16,43,1.1e+07
"Sundqvist","Oskar","SWE",23,42,1,4,675000
"Sustr","Andrej","CZE",27,44,2,5,1950000
"Suter","Ryan","USA",33,78,6,45,9e+06
"Sutter","Brandon","CAN",28,61,11,15,4250000
"Svechnikov","Evgeny","RUS",21,14,2,2,925000
"Szwarz","Jordan","CAN",26,12,0,3,650000
"Tanev","Brandon","CAN",26,61,8,10,7e+05
"Tanev","Christopher","CAN",28,42,2,9,5e+06
"Tarasenko","Vladimir","RUS",26,80,33,33,7e+06
"Tatar","Tomas","SVK",27,82,20,14,6e+06
"Tavares","John","CAN",27,82,37,47,6e+06
"Tennyson","Matt","USA",27,15,0,0,650000
"Teravainen","Teuvo","FIN",23,82,23,41,2860000
"Terry","Troy","USA",20,2,0,0,925000
"Theodore","Shea","CAN",22,61,6,23,832500
"Thompson","Nate","USA",33,69,5,12,925000
"Thompson","Tage","USA",20,41,3,6,1650000
"Thorburn","Chris","CAN",34,50,1,6,9e+05
"Thornton","Joe","CAN",38,47,13,23,8e+06
"Tierney","Chris","CAN",23,82,17,23,735000
"Tippett","Owen","CAN",18,7,1,0,925000
"Tkachuk","Matthew","USA",20,68,24,25,925000
"Toews","Jonathan","CAN",29,74,20,32,13800000
"Toffoli","Tyler","CAN",25,82,24,23,4400000
"Tolvanen","Eeli","FIN",18,3,0,0,925000
"Toninato","Dominic","USA",23,37,0,2,925000
"Trocheck","Vincent","USA",24,82,31,44,4500000
"Trotman","Zach","USA",27,3,0,0,650000
"Trouba","Jacob","USA",23,55,3,21,3500000
"Tuch","Alex","USA",21,78,15,22,925000
"Turgeon","Dominic","CAN",21,5,0,0,742500
"Turris","Kyle","CAN",28,76,16,35,4e+06
"Upshall","Scottie","CAN",34,63,7,12,8e+05
"Valiev","Rinat","RUS",22,2,0,0,750000
"Valk","Curtis","CAN",24,1,0,0,682500
"van Riemsdyk","James","USA",28,81,36,18,9e+05
"van Riemsdyk","Trevor","USA",26,79,3,13,5e+06
"Vanek","Thomas","AUT",34,80,24,32,2e+06
"Vatanen","Sami","FIN",26,72,4,28,5e+06
"Vatrano","Frank","USA",23,41,7,3,842500
"Vermette","Antoine","CAN",35,64,8,8,1750000
"Versteeg","Kris","CAN",31,24,3,5,1750000
"Vesey","Jimmy","USA",24,79,17,11,925000
"Virtanen","Jake","CAN",21,75,10,10,832500
"Vlasic","Marc-Edouard","CAN",30,81,11,21,4250000
"Voracek","Jakub","CZE",28,82,20,65,1e+07
"Vrana","Jakub","CZE",21,73,13,14,832500
"Vrbata","Radim","CZE",36,42,5,9,2500000
"Wagner","Chris","USA",26,79,7,9,650000
"Walker","Nathan","AUS",23,9,1,0,650000
"Wallmark","Lucas","SWE",22,11,1,0,725000
"Ward","Joel","CAN",37,52,5,7,3275000
"Warsofsky","David","USA",27,16,0,5,650000
"Watson","Austin","USA",26,76,14,5,1e+06
"Weal","Jordan","CAN",25,69,8,13,1750000
"Weber","Shea","CAN",32,26,6,10,1.2e+07
"Weber","Yannick","CHE",29,47,2,3,650000
"Weegar","MacKenzie","CAN",24,60,2,6,675000
"Weise","Dale","CAN",29,46,4,4,2550000
"Welinski","Andy","USA",24,7,0,2,925000
"Wennberg","Alexander","SWE",23,66,8,27,3500000
"Werenski","Zach","USA",20,77,16,21,925000
"Wheeler","Blake","USA",31,81,23,68,5800000
"White","Colin","USA",21,21,2,4,925000
"Whitecloud","Zach","CAN",21,1,0,0,925000
"Wideman","Chris","USA",28,16,3,5,8e+05
"Williams","Justin","CAN",36,82,16,35,5e+06
"Wilson","Colin","USA",28,56,6,12,2250000
"Wilson","Scott","CAN",25,69,6,8,660000
"Wilson","Tom","CAN",23,78,14,21,4e+06
"Wingels","Tommy","USA",29,75,9,8,750000
"Winnik","Daniel","CAN",32,81,6,17,660000
"Witkowski","Luke","USA",27,31,1,3,7e+05
"Wolanin","Christian","CAN",22,10,1,2,925000
"Wood","Miles","USA",22,76,19,13,925000
"Yakupov","Nail","RUS",24,58,9,7,875000
"Yamamoto","Kailer","USA",19,9,0,3,925000
"Yandle","Keith","USA",31,82,8,48,7500000
"Zacha","Pavel","CZE",20,69,8,17,925000
"Zadorov","Nikita","RUS",22,77,7,13,2100000
"Zaitsev","Nikita","RUS",26,60,5,8,4500000
"Zajac","Travis","CAN",32,63,12,14,6500000
"Zetterberg","Henrik","SWE",37,82,11,45,7e+06
"Zibanejad","Mika","SWE",24,72,27,20,6e+06
"Zuccarello","Mats","NOR",30,80,16,37,4500000
"Zucker","Jason","USA",26,82,33,31,2e+06
"Zykov","Valentin","RUS",22,10,3,4,685000
